State,2011,2017,2018,2019,2020,2022,2023,2025,2026,multiplier
1,71.44872626,72.46806601,76.930186,75.35120794,77.18046008,76.91270464,78.69252704,79.73281978,80.35836087,1.124699698
2,65.29028814,65.11937815,64.08424126,64.6655431,62.77854434,61.28472069,66.80372018,66.15964138,66.26741356,1.014965862
3,71.15420238,73.99349603,76.33669104,76.42407247,77.7955703,77.98562702,75.66539826,77.38919607,77.78942177,1.093251265
4,99.29602489,99.57653961,98.96990462,98.98339635,99.4365103,99.78282473,100,99.85830552,99.90962013,1.006179454
5,69.46231817,64.56332971,73.09170512,64.24175736,71.73594379,68.79555811,74.3933166,73.81856389,74.26255053,1.069105559
6,63.06991956,76.03138257,75.57418272,73.10313148,75.34719118,75.29730632,78.29175807,83.21969903,84.50716849,1.339896564
7,99.77807888,98.59355818,99.59108277,99.80009072,99.76112527,99.66705037,99.67421849,99.36222173,99.35615556,0.995771383
8,61.21328566,60.02032783,56.95602851,57.2616491,56.26449897,61.07850723,64.71821468,62.56551328,62.80274543,1.025965928
9,54.23751913,54.29933455,54.11116888,53.36411011,51.78787715,56.19435338,55.67523419,55.44973514,55.56185397,1.02441732
10,38.6422455,55.4556878,52.31251518,54.19007889,55.36982728,58.93918207,57.31775993,63.01603849,64.57526254,1.671105333
11,50.27495136,62.53093722,68.71197387,66.27275637,65.51298861,70.45113023,71.01698983,76.98575857,78.77311928,1.566846255
12,40.87024088,53.61477367,56.38568499,47.49904797,50.03788264,47.39498627,48.80524423,55.67973609,56.42305869,1.380541379
13,49.48462939,66.43479031,70.34134434,60.73743202,67.50435417,62.24624157,66.77631875,75.06613841,76.58960521,1.547745354
14,53.73487062,62.99249503,70.61197874,65.44768139,67.30118526,66.77368071,64.87830832,70.98212433,72.0050548,1.340006107
15,47.78628495,54.29755293,56.70914159,61.87538755,63.37881104,63.61209684,68.73314166,70.25187839,71.97708459,1.506228925
16,69.97228993,73.72623954,70.8548634,61.55690055,69.47358317,70.64808465,66.73022284,68.30553714,68.04548981,0.972463383
17,49.95305463,51.16571264,54.09843599,53.18293825,63.78055899,59.91218516,59.21914402,59.58387187,60.35481188,1.208230654
18,47.67314266,55.15122965,63.02434641,65.38207214,66.38598896,57.01651345,69.76065752,73.45925072,75.33756125,1.580293579
19,59.37574825,64.26664356,65.11301907,64.47593879,65.44916402,70.08165572,69.45212574,71.05223259,71.89098723,1.210780316
20,58.39263108,57.04323764,65.03342444,57.55254746,59.20383459,69.61412018,67.92029057,68.50001294,69.32615707,1.187241537
21,49.57714713,53.66529478,59.97395764,58.41643919,59.38848157,63.35181491,66.03796629,68.1183465,69.51250844,1.402107875
22,33.00685644,39.42490667,43.37238452,39.68306168,43.7269888,45.69805741,45.5320799,48.66354046,49.73831253,1.5069085
23,45.49057312,44.09200007,47.00652662,47.19624874,45.01252109,49.33563213,47.64534806,47.53687139,47.72761455,1.049175934
24,57.47461724,61.27293414,63.19875129,61.28399235,63.28654288,68.11831378,68.3123573,69.559429,70.4619792,1.225966915
25,93.79202562,98.71994952,99.71237691,97.65617245,99.82330325,92.58739383,91.01687345,94.45218226,94.27694044,1.005170107
26,82.77258598,96.38976934,93.79476841,89.39651273,83.29740211,89.2,89.2,94.99432945,95.56917442,1.154599355
27,59.8371789,59.72105798,61.54464748,59.52108225,58.54422138,63.15978508,65.34114158,65.12193408,65.57495699,1.09588985
28,56.30642567,58.20291076,65.66236799,58.43026638,59.92503532,65.37542041,62.20130884,64.90112556,65.45698005,1.162513501
29,55.23287618,57.96538009,63.15542521,59.07046725,59.03602763,61.17169029,60.02997816,62.59456023,63.04599833,1.141457818
30,96.64406542,95.31679218,94.60393024,89.50537731,90.85258606,91.21120636,94.08082471,93.46365594,93.24459179,0.964824807
31,88.12275756,93.13158539,87.04752665,98.77411727,92.14372507,95.8163258,94.63654209,94.50527151,94.99180939,1.077948671
32,79.91875813,82.49755167,81.62506524,82.01797221,79.97364349,81.37810758,81.16495463,82.13258076,82.23980635,1.029042596
33,69.17075987,77.23973083,78.33273856,76.36417575,78.15796709,78.78892914,80.16914126,83.48219216,84.418205,1.220431945
34,90.95675554,93.18043597,93.55202405,89.15226156,87.41217447,89.91995854,89.53075709,91.07964005,90.9860461,1.000322027
35,81.03966318,88.58218387,94.47863664,89.67759293,86.04178907,88.55326988,84.16604387,89.85453208,90.21426114,1.113211205
36,56.30642567,61.4504805,62.79399892,56.95590368,61.3906134,59.98519259,64.2729931,66.46717832,67.14604332,1.192511201
