State,state_name,pop_2011,pop_2026,pop_growth
1, Jammu & Kashmir (incl. Ladakh) ,12541000,14201000,13.2
2, Himachal Pradesh ,6865000,7579000,10.4
3, Punjab ,27743000,31318000,12.9
4, Chandigarh ,1055000,1267000,20.1
5, Uttarakhand ,10086000,11993000,18.9
6, Haryana ,25351000,31299000,23.5
7, NCT of Delhi ,16788000,22540000,34.3
8, Rajasthan ,68548000,83642000,22
9, Uttar Pradesh ,199812000,242859000,21.5
10, Bihar ,104099000,132265000,27.1
11, Sikkim ,611000,708000,15.9
12, Arunachal Pradesh ,1384000,1604000,15.9
13, Nagaland ,1979000,2294000,15.9
14, Manipur ,2856000,3311000,15.9
15, Mizoram ,1097000,1272000,16
16, Tripura ,3674000,4260000,15.9
17, Meghalaya ,2967000,3440000,15.9
18, Assam ,31206000,36717000,17.7
19, West Bengal ,91276000,100522000,10.1
20, Jharkhand ,32988000,40958000,24.2
21, Odisha ,41974000,44677000,6.4
22, Chhattisgarh ,25545000,31211000,22.2
23, Madhya Pradesh ,72627000,89673000,23.5
24, Gujarat ,60440000,74086000,22.6
25, Daman & Diu ,243000,705000,190.1
26, Dadra & Nagar Haveli ,344000,836000,143
27, Maharashtra ,112374000,129308000,15.1
28, Andhra Pradesh ,49577000,53709000,8.3
29, Karnataka ,61095000,68962000,12.9
30, Goa ,1459000,1599000,9.6
31, Lakshadweep ,64000,70000,9.4
32, Kerala ,33406000,36207000,8.4
33, Tamil Nadu ,72147000,77546000,7.5
34, Puducherry ,1248000,1757000,40.8
35, Andaman & Nicobar Islands ,381000,406000,6.6
36, Telangana ,35004000,38636000,10.4
